Target_Mbps,Achieved_Mbps,Loss_Rate_Pct,Status,Test_Duration_Sec
200,200,0.000,zero_loss,10
250,250,0.000,zero_loss,10
300,300,0.000,zero_loss,10
350,350,0.000,zero_loss,10
380,380,0.000,zero_loss,10
390,390,0.000,zero_loss,10
391,391,0.000,zero_loss,10
392,392,0.000,zero_loss,10
393,393,0.010,marginal_loss,10
394,394,0.000,zero_loss,10
395,395,0.000,zero_loss,10
396,396,0.000,zero_loss,10
397,397,0.000,zero_loss,10
398,398,0.000,zero_loss,10
399,399,0.0065,marginal_loss,10
400,400,0.027,loss_onset,10
450,450,0.010,low_loss,10
480,480,0.024,low_loss,10
500,499,0.250,moderate_loss,10
520,518,0.400,moderate_loss,10
530,527,0.500,high_loss,10
540,537,0.520,high_loss,10
560,557,0.450,high_loss,10
580,578,0.410,high_loss,10
600,595,0.870,very_high_loss,10
650,642,1.200,very_high_loss,10
700,691,1.200,very_high_loss,10
750,731,2.500,catastrophic,10
800,777,2.800,catastrophic,10
850,830,2.400,catastrophic,10
900,861,4.400,catastrophic,10
950,903,4.900,catastrophic,10
